Details,Details,URL,Whisky
bottle.jsp?bid=17546&bottling=Craigellachie+17yo,"Craigellachie 17yo (46%, OB, Batch 98-ZC21, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17546&bottling=Craigellachie+17yo,Craigellachie 17yo
bottle.jsp?bid=17545&bottling=Craigellachie+13yo,"Craigellachie 13yo (46%, OB, Batch 83-LH88, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17545&bottling=Craigellachie+13yo,Craigellachie 13yo
bottle.jsp?bid=17544&bottling=Glenrothes+7yo+2007/2014,"Glenrothes 7yo 2007/2014 (66.7%, Adelphi, 1st Fill Sherry Hogshead, C#3529, 320 Bts.)",http://www.whisky-monitor.com/bottle.jsp?bid=17544&bottling=Glenrothes+7yo+2007/2014,Glenrothes 7yo 2007/2014
bottle.jsp?bid=17301&bottling=Glen+Garioch+21yo+1993/2014,"Glen Garioch 21yo 1993/2014 (59%, Adelphi, C#774, 501 Bts.)",http://www.whisky-monitor.com/bottle.jsp?bid=17301&bottling=Glen+Garioch+21yo+1993/2014,Glen Garioch 21yo 1993/2014
bottle.jsp?bid=17543&bottling=Longmorn+22yo+1992/2014,"Longmorn 22yo 1992/2014 (54%, Adelphi, Refill Sherry Hogshead, C#48509, 250 Bts.)",http://www.whisky-monitor.com/bottle.jsp?bid=17543&bottling=Longmorn+22yo+1992/2014,Longmorn 22yo 1992/2014
bottle.jsp?bid=17542&bottling=Lark,"Lark (58%, OB, NAS, Small Cask Ages Cask Strength, Port Cask, C#473, 2014)",http://www.whisky-monitor.com/bottle.jsp?bid=17542&bottling=Lark,Lark
bottle.jsp?bid=17541&bottling=Lark,"Lark (43%, OB, NAS, Small Cask Aged, Port Cask, C#516, 2014)",http://www.whisky-monitor.com/bottle.jsp?bid=17541&bottling=Lark,Lark
bottle.jsp?bid=17540&bottling=Lark,"Lark (46%, OB, NAS, Distillers Selection, Sherry Cask, C#475, 2014)",http://www.whisky-monitor.com/bottle.jsp?bid=17540&bottling=Lark,Lark
bottle.jsp?bid=17539&bottling=Glenburgie+1984/2014,"Glenburgie 1984/2014 (54.5%, Gordon & MacPhail Exclusive for LMDW, Refill Bourbon Barrel, C#8510, 70 Bts.)",http://www.whisky-monitor.com/bottle.jsp?bid=17539&bottling=Glenburgie+1984/2014,Glenburgie 1984/2014
bottle.jsp?bid=17538&bottling=Glen+Grant+59yo+1955/2014,"Glen Grant 59yo 1955/2014 (60.8%, Gordon & MacPhail Book of Kells for LMDW, 1st Fill Sherry Hogshead, C#845)",http://www.whisky-monitor.com/bottle.jsp?bid=17538&bottling=Glen+Grant+59yo+1955/2014,Glen Grant 59yo 1955/2014
bottle.jsp?bid=17537&bottling=Karuizawa+33yo+1981/2014,"Karuizawa 33yo 1981/2014 (55.3%, Number One Drinks for LMDW, ex-Sherry Cask, C#136)",http://www.whisky-monitor.com/bottle.jsp?bid=17537&bottling=Karuizawa+33yo+1981/2014,Karuizawa 33yo 1981/2014
bottle.jsp?bid=17536&bottling=Karuizawa+35yo+1979/2014,"Karuizawa 35yo 1979/2014 (58.8%, Number One Drinks for LMDW, ex-Bourbon Cask, C#8187)",http://www.whisky-monitor.com/bottle.jsp?bid=17536&bottling=Karuizawa+35yo+1979/2014,Karuizawa 35yo 1979/2014
bottle.jsp?bid=17535&bottling=Karuizawa+35yo+1978/2014,"Karuizawa 35yo 1978/2014 (63%, Number One Drinks for LMDW, ex-Bourbon Cask, C#8383)",http://www.whisky-monitor.com/bottle.jsp?bid=17535&bottling=Karuizawa+35yo+1978/2014,Karuizawa 35yo 1978/2014
bottle.jsp?bid=17534&bottling=Karuizawa+34yo+1980/2014,"Karuizawa 34yo 1980/2014 (63%, Number One Drinks for LMDW, ex-Bourbon Cask, C#6476)",http://www.whisky-monitor.com/bottle.jsp?bid=17534&bottling=Karuizawa+34yo+1980/2014,Karuizawa 34yo 1980/2014
bottle.jsp?bid=17532&bottling=Glenfarclas+2001/2014+'Family+Casks',"Glenfarclas 2001/2014 'Family Casks' (60.2%, OB for TSMC, C#3922, 574 Bts.)",http://www.whisky-monitor.com/bottle.jsp?bid=17532&bottling=Glenfarclas+2001/2014+'Family+Casks',Glenfarclas 2001/2014 'Family Casks'
bottle.jsp?bid=17533&bottling=Caol+Ila+10yo+2003/2014,"Caol Ila 10yo 2003/2014 (58.5%, Cadenhead's Small Batch for Taiwan, Bourbon Hoghead, 282 Bts.)",http://www.whisky-monitor.com/bottle.jsp?bid=17533&bottling=Caol+Ila+10yo+2003/2014,Caol Ila 10yo 2003/2014
bottle.jsp?bid=17531&bottling=Nantou+5yo+2009/2014,"Nantou 5yo 2009/2014 (58%, OB, Sherry Cask, C#852, 246 Bts.)",http://www.whisky-monitor.com/bottle.jsp?bid=17531&bottling=Nantou+5yo+2009/2014,Nantou 5yo 2009/2014
bottle.jsp?bid=17529&bottling=Nantou+5yo+2009/2014,"Nantou 5yo 2009/2014 (57.5%, OB, Bourbon Cask, C#151, 179 Bts.)",http://www.whisky-monitor.com/bottle.jsp?bid=17529&bottling=Nantou+5yo+2009/2014,Nantou 5yo 2009/2014
bottle.jsp?bid=17530&bottling=Nantou+5yo+2009/2014,"Nantou 5yo 2009/2014 (55.5%, OB, Bourbon Cask, C#99, 191 Bts.)",http://www.whisky-monitor.com/bottle.jsp?bid=17530&bottling=Nantou+5yo+2009/2014,Nantou 5yo 2009/2014
